,totale_positivi,dimessi_guariti,deceduti,note
184,20753,206329,35458,Unkown
185,21932,206554,35463,Unkown
186,23035,206902,35472,Unkown
187,24156,207224,35473,Unkown
188,25205,207536,35477,Unkown
189,26078,207653,35483,Unkown
190,26754,207944,35491,Unkown
191,27817,208201,35497,Unkown
192,28915,208490,35507,Unkown
193,30099,209027,35518,Unkown
194,31194,209610,35533,Unkown
195,32078,210015,35541,Unkown
196,32993,210238,35553,Unkown
197,33789,210801,35563,Unkown
198,34734,211272,35577,Unkown
199,35708,211885,35587,Unkown
200,36767,212432,35597,Unkown
201,37503,213191,35603,Unkown
202,38509,213634,35610,Unkown
203,39187,213950,35624,Unkown
204,39712,214645,35633,Unkown
205,40532,215265,35645,Unkown
206,41413,215954,35658,Unkown
207,42457,216807,35668,Unkown
208,43161,217716,35692,Unkown
209,44098,218351,35707,Unkown
210,45079,218703,35724,Unkown
211,45489,219670,35738,Unkown
212,46114,220665,35758,Unkown
213,46780,221762,35781,Unkown
214,47718,222716,35801,Unkown
215,48593,223693,35818,Unkown
216,49618,224417,35835,Unkown
217,50323,225190,35851,Unkown
218,50630,226506,35875,Unkown
219,51263,227704,35894,Unkown
220,52647,228844,35918,Unkown
221,53997,229970,35941,Unkown
222,55566,231217,35968,Unkown
223,57429,231914,35986,Unkown
224,58903,232681,36002,Unkown
225,60134,234099,36030,Unkown
226,62576,235303,36061,Unkown
227,65952,236363,36083,Unkown
228,70110,237549,36111,Unkown
229,74829,238525,36140,Unkown
230,79075,239709,36166,Unkown
231,82764,240600,36205,Unkown
232,87193,242028,36246,Unkown
